cause,effect,surface,weight
doing housework,having a clean house,Something that might happen as a consequence of [[doing housework]] is [[having a clean house]],9.38083151964686
going to get a haircut,your hair will be shorter,The effect of [[going to get a haircut]] is [[your hair will be shorter]],8.94427190999916
exercise,sweat,Sometimes [[exercise]] causes [[sweat]],8.94427190999916
going on a vacation,relaxation,Something that might happen as a consequence of [[going on a vacation]] is [[relaxation]],8.717797887081348
lighting a match,fire,Something that might happen as a consequence of [[lighting a match]] is [[fire]],8.0
playing,fun,The effect of [[playing]] is [[fun]].,8.0
tickling,laughter,Something that might happen as a consequence of [[tickling]] is [[laughter]],7.745966692414834
having a haircut,have shorter hair,Sometimes [[having a haircut]] causes you to [[have shorter hair]],7.745966692414834
playing a game with your friends,fun,The effect of [[playing a game with your friends]] is [[fun]],7.745966692414834
smoking,lung cancer,The effect of [[smoking]] is [[lung cancer]],7.483314773547882
walking in the rain,get wet,Sometimes [[walking in the rain]] causes you to [[get wet]],7.211102550927979
going to a laundromat,clean clothes,The effect of [[going to a laundromat]] is [[clean clothes]],6.928203230275509
killing,guilt,Sometimes [[killing]] causes [[guilt]],6.6332495807108
sex,an orgasm,Sometimes [[sex]] causes [[an orgasm]],6.6332495807108
waiting in line,boredom,Something that might happen as a consequence of [[waiting in line]] is [[boredom]],6.32455532033676
tickling,laughing,Something that might happen as a consequence of [[tickling]] is [[laughing]],6.32455532033676
going to bed,sleep,Sometimes [[going to bed]] causes [[sleep]],6.0
reading a magazine,learning,The effect of [[reading a magazine]] is [[learning]],6.0
farting,bad smell,The effect of [[farting]] is [[bad smell]],6.0
killing someone,go to jail,Sometimes [[killing someone]] causes you to [[go to jail]],6.0
opening a gift,surprise,The effect of [[opening a gift]] is [[surprise]].,6.0
relaxing,sleeping,Sometimes [[relaxing]] causes [[sleeping]],6.0
waiting on line,boredom,Something that might happen as a consequence of [[waiting on line]] is [[boredom]],6.0
passing a class,graduation,Something that might happen as a consequence of [[passing a class]] is [[graduation]],6.0
striking a match,a flame,Something that might happen as a consequence of [[striking a match]] is [[a flame]],5.656854249492381
crossing the street,you get to the other side,The effect of [[crossing the street]] is [[you get to the other side]],5.656854249492381
buying a hamburger,you have something to eat,Something that might happen as a consequence of [[buying a hamburger]] is [[you have something to eat]],5.656854249492381
going to the pub,getting drunk,Something that might happen as a consequence of [[going to the pub]] is [[getting drunk]],5.656854249492381
chatting with friends,laughter,Sometimes [[chatting with friends]] causes [[laughter]],5.656854249492381
opening a gift,suprise,Sometimes [[opening a gift]] causes [[suprise]],5.656854249492381
working,stress,Sometimes [[working]] causes [[stress]],5.656854249492381
rain,flooding,Something that might happen as a consequence of [[rain]] is [[flooding]],5.291502622129181
studying,learning,The effect of [[studying]] is [[learning]],5.291502622129181
expressing yourself,embarrassment,Something that might happen as a consequence of [[expressing yourself]] is [[embarrassment]],5.291502622129181
making a phone call,annoying,Sometimes [[making a phone call]] causes [[annoying]],5.291502622129181
taking an examination,passing a class,Sometimes [[taking an examination]] causes [[passing a class]],5.291502622129181
running a marathon,exhaustion,The effect of [[running a marathon]] is [[exhaustion]],5.291502622129181
proposing to a woman,marriage,The effect of [[proposing to a woman]] is [[marriage]],5.291502622129181
masturbation,orgasm,Sometimes [[masturbation]] causes [[orgasm]],5.291502622129181
driving,changing your location,Something that might happen as a consequence of [[driving]] is [[changing your location]],5.291502622129181
examining a thing,the thing to be changed,Sometimes [[examining a thing]] causes [[the thing to be changed]],5.291502622129181
reproducing,children,The effect of [[reproducing]] is [[children]],5.291502622129181
thinking,ideas,The effect of [[thinking]] is [[ideas]],4.898979485566356
going to a play,to be entertained,The effect of [[going to a play]] is [[to be entertained]],4.898979485566356
taping a television show,watch it later,Sometimes [[taping a television show]] causes you to [[watch it later]],4.898979485566356
buying a beer,getting drunk,The effect of [[buying a beer]] is [[getting drunk]],4.898979485566356
going for a jog,sweating,The effect of [[going for a jog]] is [[sweating]],4.898979485566356
talking,a dry mouth,Something that might happen as a consequence of [[talking]] is [[a dry mouth]],4.898979485566356
going to a performance,enjoyment,Something that might happen as a consequence of [[going to a performance]] is [[enjoyment]],4.898979485566356
